Source,Currency,Fiat/Checking,Flexible/Savings,Money Market,< 30-days,30-day,60-day,90-day,180-day,12-month,18-month,24-month,36-month,48-month,60-month,Dividend,Insured,Notes,Last Update,Link
Voyager,ETH,,4.60%,,,,,,,,,,,,,Daily,,,,
Voyager,FIL,,2.00%,,,,,,,,,,,,,Daily,,,,
Voyager,GRT,,2.00%,,,,,,,,,,,,,Daily,,,,
Voyager,KNC,,1.00%,,,,,,,,,,,,,Daily,,,,
Voyager,LINK,,3.50%,,,,,,,,,,,,,Daily,,,,
Voyager,LUNA,,4.00%,,,,,,,,,,,,,Daily,,,,
Voyager,LTC,,4.50%,,,,,,,,,,,,,Daily,,,,
Voyager,MANA,,2.00%,,,,,,,,,,,,,Daily,,,,
Voyager,OMG,,1.00%,,,,,,,,,,,,,Daily,,,,
Voyager,OXT,,1.50%,,,,,,,,,,,,,Daily,,,,
Voyager,SHIB,,2.00%,,,,,,,,,,,,,Daily,,,,
Voyager,STMX,,2.00%,,,,,,,,,,,,,Daily,,,,
Voyager,UNI,,2.00%,,,,,,,,,,,,,Daily,,,,
Voyager,UMA,,2.00%,,,,,,,,,,,,,Daily,,,,
Voyager,USDC,,9.00%,,,,,,,,,,,,,Daily,,,,
Voyager,VGX,,7.00%,,,,,,,,,,,,,Daily,,,,
Voyager,XLM,,1.00%,,,,,,,,,,,,,Daily,,,,
Voyager,XTZ,,2.00%,,,,,,,,,,,,,Daily,,,,
Voyager,ZEC,,1.00%,,,,,,,,,,,,,Daily,,,,
Voyager,ZRX,,2.00%,,,,,,,,,,,,,Daily,,,,
YouHodler,BCH,,5.50%,,,,,,,,,,,,,Weekly,,,,
YouHodler,BNB,,3.00%,,,,,,,,,,,,,Weekly,,,,
YouHodler,BTC,,4.80%,,,,,,,,,,,,,Weekly,,,,
YouHodler,COMP,,2.50%,,,,,,,,,,,,,Weekly,,,,
YouHodler,DAI,,12.00%,,,,,,,,,,,,,Weekly,,,,
YouHodler,DASH,,5.50%,,,,,,,,,,,,,Weekly,,,,
YouHodler,EOS,,5.00%,,,,,,,,,,,,,Weekly,,,,
YouHodler,ETH,,5.50%,,,,,,,,,,,,,Weekly,,,,
YouHodler,EURS,,12.00%,,,,,,,,,,,,,Weekly,,,,
YouHodler,HT,,3.00%,,,,,,,,,,,,,Weekly,,,,
YouHodler,HUSD,,12.00%,,,,,,,,,,,,,Weekly,,,,
YouHodler,LINK,,6.20%,,,,,,,,,,,,,Weekly,,,,
YouHodler,LTC,,5.50%,,,,,,,,,,,,,Weekly,,,,
YouHodler,MKR,,2.50%,,,,,,,,,,,,,Weekly,,,,
YouHodler,PAX,,12.00%,,,,,,,,,,,,,Weekly,,,,
YouHodler,PAXG,,8.20%,,,,,,,,,,,,,Weekly,,,,
YouHodler,TUSD,,12.00%,,,,,,,,,,,,,Weekly,,,,
YouHodler,UNI,,7.00%,,,,,,,,,,,,,Weekly,,,,
YouHodler,USDC,,12.00%,,,,,,,,,,,,,Weekly,,,,
YouHodler,USDT,,12.00%,,,,,,,,,,,,,Weekly,,,,
YouHodler,XLM,,4.50%,,,,,,,,,,,,,Weekly,,,,
YouHodler,XRP,,4.50%,,,,,,,,,,,,,Weekly,,,,
